,0
1569,9713
1570,9737
1571,3889
1572,2282
1573,7654
1574,8431
1575,6413
1576,5928
1577,12095
1578,6260
1579,12794
1580,5328
1581,9827
1582,11225
1583,11278
1584,11071
1585,13620
1586,11219
1587,4237
1588,2493
1589,3774
1590,6418
1591,7140
1592,12960
1593,19789
1594,3953
1595,10538
1596,11286
1597,12574
1598,14272
1599,11991
1600,3847
1601,4189
1602,13503
1603,12334
1604,7452
1605,7843
1606,6207
1607,6358
1608,8290
1609,12561
1610,11838
1611,6347
1612,7801
1613,3934
1614,8821
1615,2287
1616,4958
1617,6262
1618,5173
1619,7018
1620,9365
1621,7313
1622,32262
1623,11420
1624,2728
1625,3782
1626,12257
1627,7714
1628,11622
1629,10106
1630,11541
1631,11692
1632,14734
1633,13284
1634,11956
1635,7629
1636,12586
1637,9822
1638,4174
1639,11038
1640,29624
1641,4846
1642,4844
1643,12662
1644,3573
1645,13022
1646,5278
1647,6445
1648,11622
1649,11047
1650,4897
1651,4098
1652,13968
1653,4886
1654,6514
1655,13589
1656,5615
1657,3864
1658,14632
1659,13542
1660,11745
1661,13595
1662,12441
1663,5726
1664,10919
1665,8231
1666,3942
1667,6453
1668,13663
1669,16316
1670,4274
1671,5468
1672,9217
1673,13060
1674,4846
1675,13176
1676,15560
1677,12656
1678,11347
1679,6226
1680,5472
1681,4457
1682,12350
1683,11642
1684,8775
1685,9199
1686,14531
1687,5631
1688,5426
1689,10911
1690,15018
1691,4915
1692,12166
1693,13447
1694,12918
1695,6521
1696,1985
1697,5170
1698,16045
1699,4404
1700,14714
1701,7247
1702,4246
1703,13502
1704,6713
1705,6044
1706,9662
1707,10107
1708,11449
1709,10827
1710,9828
1711,8836
1712,16228
1713,6184
1714,5312
1715,13479
1716,8565
1717,2493
1718,11161
1719,5676
1720,3590
1721,1996
1722,13408
1723,15758
1724,12011
1725,12628
1726,7916
1727,10644
1728,17405
1729,6737
1730,6164
1731,9138
1732,2227
1733,11691
1734,8863
1735,13804
1736,11205
1737,11131
1738,16845
1739,2935
1740,8151
1741,12532
1742,6944
1743,14884
1744,14235
1745,1983
1746,5822
1747,11669
1748,5281
1749,15706
1750,10118
1751,8812
1752,8188
1753,15327
1754,4404
1755,8807
1756,14767
1757,4670
1758,6343
1759,12006
1760,11687
1761,5975
1762,7314
1763,6444
1764,14381
1765,6260
1766,4176
1767,8914
1768,3922
1769,4823
1770,7622
1771,15334
1772,6330
1773,4173
1774,4168
1775,11578
1776,5262
1777,7359
1778,4363
1779,5295
1780,2914
1781,10701
1782,6646
1783,10661
1784,5349
1785,12474
1786,4237
1787,6472
1788,12998
1789,7448
1790,4492
1791,4823
1792,13264
1793,6938
1794,9803
1795,13208
1796,4317
1797,12858
1798,11303
1799,4787
1800,2083
1801,4810
1802,52824
1803,5047
1804,10234
1805,11268
1806,11315
1807,10840
1808,3589
1809,15340
1810,6474
1811,7738
1812,13277
1813,12097
1814,3897
1815,12980
1816,15553
1817,12110
1818,6143
1819,10321
1820,4663
1821,3560
1822,13806
1823,6499
1824,7963
1825,12575
1826,5957
1827,4025
1828,5502
1829,7331
1830,13322
1831,11892
1832,5366
1833,3961
1834,11888
1835,7588
1836,14077
1837,5277
1838,10515
1839,16127
1840,8602
1841,8337
1842,7545
1843,6094
1844,5640
1845,8414
1846,17114
1847,12005
1848,14264
1849,13399
1850,13286
1851,11861
1852,13698
1853,4713
1854,6440
1855,5735
1856,3187
1857,2964
1858,8896
1859,15969
1860,11212
1861,19964
1862,7530
1863,10779
1864,13583
1865,3569
1866,7643
1867,10942
1868,12740
1869,11466
1870,5498
1871,8374
1872,4807
1873,7445
1874,6550
1875,3686
1876,11951
1877,15202
1878,11622
1879,13261
1880,10780
1881,4028
1882,1990
1883,4470
1884,6191
1885,3020
1886,9677
1887,2284
1888,11693
1889,13476
1890,9008
1891,11995
1892,13499
1893,9952
1894,10277
1895,7525
1896,11480
1897,11633
1898,10935
1899,13706
1900,4009
1901,5009
1902,13070
1903,9556
1904,10085
1905,11683
1906,5128
1907,4260
1908,7038
1909,2282
1910,29175
1911,13823
1912,4485
1913,11762
1914,11793
1915,5809
1916,14462
1917,11194
1918,11772
1919,3863
1920,13118
1921,13805
1922,5096
1923,6939
1924,9157
1925,13463
1926,13252
1927,5836
1928,4178
1929,12954
1930,12808
1931,3093
1932,8559
1933,5996
1934,5544
1935,7936
1936,4846
1937,10994
1938,6958
1939,4028
1940,13040
1941,7703
1942,11103
1943,12952
1944,6332
1945,16723
1946,5408
1947,9987
1948,6005
1949,7559
1950,5696
1951,8071
1952,11800
1953,8429
1954,9223
1955,14814
1956,11656
1957,11618
1958,7208
1959,15367
1960,5579
1961,11004
1962,11230
1963,5825
1964,4958
1965,6887
1966,4746
1967,5503
1968,15201
1969,8286
1970,6449
1971,7637
1972,12831
1973,13207
1974,3581
1975,13393
1976,5543
1977,4850
1978,13804
1979,11533
1980,23266
1981,8085
1982,4225
1983,14874
1984,4313
1985,14432
1986,9669
1987,5545
1988,6979
1989,7667
1990,5946
1991,10514
1992,4902
1993,12979
1994,9038
1995,12784
1996,4842
1997,13769
1998,5040
1999,8771
2000,3996
2001,7434
2002,13441
2003,5773
2004,4073
2005,4461
2006,7970
2007,10964
2008,11759
2009,12257
2010,13743
2011,6715
2012,7406
2013,5030
2014,6882
2015,16967
2016,6408
2017,4731
2018,10512
2019,6980
2020,8724
2021,12451
2022,3103
2023,3856
2024,9656
2025,3844
2026,6177
2027,6197
2028,4672
2029,12619
2030,4202
2031,5540
2032,4915
2033,11827
2034,6312
2035,6488
2036,6196
2037,6242
2038,5212
2039,12380
2040,10020
2041,6145
2042,12794
2043,11192
2044,12950
2045,7745
2046,10630
2047,7440
2048,9320
2049,9237
2050,3935
2051,3560
2052,7949
2053,16677
2054,4734
2055,10653
2056,6992
2057,10341
2058,2073
2059,13519
2060,11836
2061,12561
2062,2494
2063,4842
2064,9358
2065,12342
2066,8796
2067,4660
2068,6412
2069,10192
2070,6082
2071,6892
2072,12835
2073,5736
2074,4829
2075,6844
2076,6905
2077,12093
2078,6364
2079,6229
2080,12856
2081,8867
2082,10425
2083,12093
2084,7648
2085,18307
2086,15025
2087,12614
2088,13305
2089,4073
2090,13295
2091,5809
2092,5628
2093,12647
2094,3570
2095,13075
2096,27990
2097,4671
2098,8901
2099,13459
2100,11345
2101,12358
2102,6403
2103,7975
2104,3391
2105,6227
2106,6495
2107,4006
2108,2304
2109,9405
2110,9445
2111,6543
2112,5919
2113,11860
2114,10572
2115,9964
2116,11030
2117,13317
2118,4705
2119,17475
2120,13798
2121,8646
2122,4726
2123,9709
2124,4359
2125,15019
2126,11527
2127,5369
2128,5103
2129,2813
2130,4804
2131,10968
2132,8033
2133,5440
2134,4685
2135,12960
2136,7380
2137,4181
2138,5655
2139,11504
2140,9384
2141,2167
2142,4955
2143,4474
2144,13282
2145,8941
2146,3621
2147,6304
2148,11467
2149,7230
2150,4402
2151,9564
2152,4891
2153,1982
2154,7395
2155,13909
2156,10495
2157,16670
2158,19679
2159,11072
2160,5395
2161,9766
2162,5182
2163,13446
2164,11822
2165,6775
2166,7678
2167,11828
2168,6944
2169,2116
2170,9847
2171,13503
2172,4358
2173,13210
2174,5657
2175,13672
2176,8759
2177,11304
2178,4989
2179,6497
2180,6303
2181,8652
2182,13456
2183,13258
2184,6771
2185,8825
2186,8252
2187,16440
2188,13368
2189,12902
2190,6636
2191,3984
2192,7066
2193,8365
2194,11415
2195,19579
2196,12121
2197,5040
2198,6480
2199,2733
2200,13822
2201,13387
2202,14712
2203,13554
2204,11136
2205,6941
2206,4189
2207,17443
2208,4751
2209,9497
2210,3628
2211,13826
2212,11345
2213,7909
2214,10297
2215,6508
2216,12755
2217,3864
2218,6931
2219,13267
2220,9634
2221,11286
2222,13384
2223,13527
2224,3960
2225,6480
2226,10429
2227,6649
2228,7646
2229,12799
2230,10732
2231,11464
2232,12255
2233,6176
2234,8961
2235,9075
2236,11995
2237,14413
2238,3593
2239,6599
2240,5463
2241,10818
2242,11945
2243,4689
2244,1982
2245,13008
2246,10203
2247,4040
2248,12165
2249,3687
2250,5227
2251,13210
2252,10919
2253,11647
2254,5686
2255,3431
2256,7076
2257,11566
2258,12997
2259,11665
2260,5876
2261,15480
2262,2000
2263,11172
2264,10962
2265,12040
2266,3558
2267,10224
2268,7445
2269,4611
2270,10018
2271,5673
2272,12342
2273,14010
2274,9780
2275,11849
2276,11496
2277,4826
2278,12511
2279,6501
2280,5585
2281,8666
2282,12388
2283,7507
2284,12492
2285,13483
2286,15015
2287,3961
2288,6286
2289,10948
2290,10835
2291,7706
2292,5553
2293,10356
2294,13660
2295,6725
2296,10008
2297,7794
2298,17233
2299,13172
2300,12255
2301,12076
2302,8607
2303,7342
2304,12239
2305,3508
2306,7335
2307,8523
2308,12608
2309,8847
2310,9405
2311,2780
2312,12452
2313,8685
2314,13503
2315,10036
2316,4059
2317,3688
2318,10709
2319,6331
2320,6677
2321,8709
2322,5603
2323,13552
2324,11906
2325,5371
2326,12565
2327,25190
2328,11952
2329,4208
2330,8032
2331,14519
2332,13123
2333,5446
2334,11496
2335,7879
2336,14198
2337,14132
2338,4123
2339,15673
2340,12593
2341,17011
2342,12388
2343,2026
2344,8949
2345,5006
2346,11955
2347,8224
2348,12596
2349,11286
2350,12735
2351,13246
2352,6441
2353,6382
2354,11720
2355,10928
2356,3650
2357,2928
2358,19298
2359,20038
2360,13550
2361,4333
2362,10059
2363,8725
2364,5117
2365,12784
2366,12624
2367,13759
2368,11917
2369,4790
2370,4675
2371,5551
2372,13793
2373,13518
2374,11560
2375,7074
2376,14972
2377,7128
2378,5742
2379,14978
2380,4001
2381,3994
2382,3555
2383,5672
2384,4199
2385,11733
2386,8787
2387,2760
2388,12039
2389,10470
2390,9520
2391,15766
2392,12675
2393,9763
2394,16816
2395,14451
2396,5651
2397,12601
2398,2525
2399,7556
2400,11586
2401,9263
2402,11964
2403,4824
2404,12388
2405,2053
2406,13587
2407,11390
2408,9278
2409,7832
2410,6758
2411,3888
2412,9006
2413,2106
2414,5789
2415,4844
2416,13635
2417,4145
2418,10489
2419,7794
2420,12257
2421,4551
2422,14330
2423,5102
2424,12049
2425,6862
2426,11774
2427,3563
2428,13392
2429,13453
2430,6221
2431,10823
2432,8659
2433,12452
2434,6606
2435,19825
2436,3052
2437,10959
2438,27997
2439,4003
2440,11896
2441,7004
2442,10952
2443,4117
2444,11672
2445,8447
2446,3313
2447,3522
2448,9071
2449,5584
2450,7596
2451,8144
2452,5761
2453,11812
2454,4509
2455,12752
2456,6513
2457,6343
2458,10728
2459,4070
2460,10292
2461,6908
2462,15457
2463,14940
2464,11759
2465,4730
2466,12510
2467,3672
2468,5050
2469,12247
2470,14924
2471,15105
2472,8967
2473,13035
2474,4174
2475,8839
2476,14653
2477,3109
2478,11036
2479,9760
2480,11491
2481,4698
2482,4841
2483,3085
2484,11110
2485,7664
2486,11277
2487,25235
2488,13887
2489,7022
2490,16815
2491,10944
2492,16844
2493,7706
2494,12706
2495,3873
2496,15216
2497,3527
2498,15285
