,0,1
110,30.91,20.31
111,30.06,19.96
112,34.24,26.5
113,34.62,25.71
114,28.56,20.18
115,32.14,24.41
116,25.28,21.19
117,30.73,24.68
118,31.21,24.09
119,27.15,20.15
120,30.73,22.6
121,31.42,23.12
122,31.71,24.38
123,30.73,20.76
124,22.72,16.84
125,34.39,24.83
126,29.84,22.8
127,33.33,22.47
128,21.28,17.21
129,31.39,23.46
130,32.35,24.08
131,30.59,22.16
132,24.62,21.22
133,26.58,22.16
134,28.91,22.13
135,28.82,23.48
136,26.37,21.75
137,28.68,24.07
138,26.45,21.15
139,30.43,21.82
140,28.72,21.64
141,34.04,24.78
142,31.51,22.79
143,27.62,20.67
144,29.25,20.72
145,26.32,19.4
146,27.36,22.06
147,26.78,21.78
148,31.33,25.54
149,34.47,26.09
150,31.3,23.24
151,31.24,24.98
152,33.54,23.93
153,32.47,22.61
154,32.79,26.67
155,33.1,23.39
156,32.17,21.05
157,27.22,22.74
158,24.85,22.21
159,32.74,23.94
160,28.81,20.65
161,25.43,22.63
162,32.02,20.97
163,33.03,26.37
164,30.39,22.26
165,30.28,20.69
166,27.67,24.47
167,34.93,25.33
168,34.96,25.08
169,31.95,24.71
170,27.47,21.24
171,30.62,23.07
172,30.4,25.71
173,30.37,25.17
174,31.65,22.78
175,34.35,25.13
176,33.44,24.2
177,28.68,24.43
178,30.25,22.41
179,25.28,18.28
180,32.26,26.71
181,25.0,22.03
182,31.29,24.62
183,36.1,26.2
184,32.62,23.08
185,31.05,26.0
186,34.29,24.56
187,28.08,24.75
188,28.29,20.16
189,26.16,15.55
190,28.84,24.58
191,29.05,22.36
192,30.38,23.0
193,30.74,20.56
194,33.98,24.12
195,31.55,24.67
196,24.51,20.5
197,32.43,26.86
198,25.5,20.33
199,29.17,24.43
200,33.95,26.1
201,30.66,21.53
202,26.32,19.39
203,30.86,22.87
204,31.23,20.81
205,33.24,23.55
206,30.97,21.47
207,32.54,20.93
208,31.93,24.12
209,30.8,24.62
210,31.19,23.45
211,17.47,14.13
212,26.3,20.11
213,23.97,19.35
214,34.47,23.9
215,32.47,24.97
216,33.98,24.22
217,32.16,25.46
218,32.62,23.57
219,27.25,24.03
220,29.37,23.7
221,32.4,26.4
222,31.86,22.73
223,33.35,24.66
224,33.52,26.6
225,34.55,25.59
226,32.28,24.07
227,26.95,21.1
228,29.49,22.31
229,33.71,24.53
230,27.18,22.34
231,31.63,21.75
232,24.47,21.05
233,28.92,19.94
234,26.57,21.14
235,32.42,21.4
236,27.54,20.87
237,32.85,21.43
238,27.39,20.67
239,29.9,24.91
240,26.94,16.21
241,29.33,20.52
242,29.43,21.92
243,31.27,21.78
244,33.9,26.16
245,28.44,18.84
246,31.44,24.81
247,30.3,23.98
248,33.29,25.34
249,27.89,20.79
250,30.79,24.88
251,30.69,24.86
252,30.43,26.08
253,27.5,22.26
254,29.34,23.53
255,31.18,23.76
256,30.92,21.57
257,29.58,22.37
258,26.71,20.15
259,28.95,24.02
260,25.44,22.11
261,25.58,21.3
262,29.29,23.51
263,28.94,19.25
264,35.5,25.27
265,32.09,22.09
266,27.92,20.86
267,31.16,22.71
268,32.77,23.42
269,28.72,22.82
270,33.42,25.14
271,29.59,19.66
272,30.66,22.17
273,30.45,23.98
274,31.76,21.69
275,28.8,22.93
276,31.69,22.25
277,25.72,21.75
278,31.27,22.23
279,25.44,22.25
280,27.72,21.83
281,32.08,26.84
282,32.55,22.03
283,34.02,23.74
284,33.2,22.48
285,30.3,23.05
286,25.68,22.1
287,29.98,19.88
288,32.04,21.0
289,30.86,20.71
290,31.87,21.87
291,30.44,21.05
292,35.94,27.39
293,31.8,25.3
294,33.05,24.26
295,27.53,24.47
296,30.14,25.17
297,30.4,23.19
298,32.74,23.97
299,29.73,24.9
300,25.77,19.56
301,27.56,22.63
302,28.94,19.88
303,24.78,20.71
304,29.26,23.4
305,29.31,24.12
306,32.09,23.06
307,34.47,24.28
308,31.68,21.82
309,29.7,23.26
310,28.22,22.48
311,30.58,23.86
312,30.57,25.69
313,31.99,21.63
314,33.49,26.0
315,23.6,19.24
316,33.96,24.66
317,31.84,23.21
318,30.96,24.24
319,29.0,22.77
320,30.29,21.54
321,33.1,26.18
322,30.24,22.81
323,24.75,21.43
324,33.45,23.12
325,30.6,26.38
326,31.11,24.93
327,32.38,24.99
328,31.25,23.36
329,32.67,24.47
330,33.63,25.25
331,29.72,19.79
332,29.39,21.83
333,29.46,18.94
334,25.3,21.06
335,31.85,22.98
336,30.29,22.78
337,28.3,23.52
338,25.54,20.57
339,28.59,21.36
340,24.98,16.39
341,34.48,25.2
342,30.1,22.71
343,27.88,22.38
344,28.8,22.43
345,27.35,24.2
346,29.06,19.1
347,30.35,21.47
348,28.03,20.71
349,31.83,23.64
350,26.1,19.87
351,32.32,22.35
352,28.05,23.12
353,34.42,26.54
354,28.57,23.08
355,30.53,22.96
356,32.2,22.08
357,30.11,20.18
358,27.61,18.94
359,32.94,23.48
360,30.46,22.62
361,28.49,20.26
362,32.23,23.06
363,27.58,20.33
364,31.35,20.85
365,31.61,25.1
366,30.44,22.85
367,29.36,23.07
368,30.93,20.91
369,34.22,25.42
370,23.94,15.6
371,32.12,23.37
372,29.05,22.84
373,32.45,23.87
374,29.8,21.09
375,29.85,22.79
376,30.33,22.16
377,24.16,17.33
378,29.9,21.31
379,31.88,21.93
380,30.75,21.36
381,34.81,26.29
382,31.03,25.85
383,32.64,23.23
384,29.82,22.18
385,34.41,24.98
386,29.65,23.66
387,30.08,22.57
388,31.75,25.2
389,31.51,23.07
390,32.63,25.31
391,34.55,25.76
392,30.3,21.4
393,24.09,15.72
394,31.28,24.02
395,29.37,25.05
396,31.37,22.81
397,29.17,19.7
398,34.13,25.18
399,24.52,20.45
400,24.83,19.86
401,30.99,22.78
402,29.79,20.51
403,34.56,25.66
404,30.48,24.07
405,32.73,23.89
406,25.91,22.98
407,28.95,19.04
408,30.02,20.99
409,32.46,22.88
410,31.96,22.25
411,21.54,17.59
412,28.72,21.95
413,28.77,21.61
414,28.35,21.77
415,25.81,20.44
416,32.07,22.13
417,30.07,20.16
418,32.09,22.58
419,36.02,27.04
420,32.56,25.75
421,32.41,21.84
422,27.52,20.59
423,30.37,22.96
424,30.0,25.48
425,29.75,20.63
426,31.37,24.26
427,31.76,25.58
428,30.63,22.47
429,26.47,23.08
430,33.32,25.07
431,30.35,24.97
432,30.89,24.2
433,26.78,16.12
434,31.52,23.8
435,33.24,25.37
436,27.02,24.13
437,34.09,25.8
438,33.77,23.46
439,32.77,25.98
440,31.64,25.91
441,28.23,24.22
442,24.83,19.77
443,29.14,20.18
444,28.67,20.92
445,28.33,23.34
446,28.81,22.93
447,31.73,22.95
448,34.74,26.55
449,31.87,22.98
450,28.69,24.84
451,29.46,22.9
452,28.97,23.67
453,30.13,23.38
454,33.58,25.65
455,32.48,23.31
456,31.61,26.57
457,33.27,26.23
458,31.46,24.92
459,30.67,22.15
460,32.7,22.24
461,33.72,24.37
462,29.5,21.87
463,34.87,25.71
464,33.6,24.54
465,27.34,20.69
466,30.51,23.76
467,31.93,25.0
468,33.06,23.2
469,28.94,16.48
470,30.02,22.11
471,32.19,23.19
472,25.22,18.83
473,33.55,23.99
474,29.77,21.87
475,27.31,22.43
476,26.99,16.45
477,33.04,25.63
478,31.39,25.48
479,31.19,24.53
480,34.08,26.38
481,34.57,24.95
482,31.07,23.59
483,32.53,24.24
484,29.62,21.8
485,30.23,21.36
486,31.58,22.94
487,30.33,19.58
488,30.04,23.39
489,33.26,25.03
490,32.87,22.3
491,29.19,18.32
492,26.93,19.69
493,33.03,23.62
494,32.6,23.32
495,25.65,22.45
496,30.71,24.06
497,30.51,20.71
498,35.0,26.23
499,26.7,22.55
500,33.04,24.5
501,31.17,24.51
502,29.42,19.61
503,30.09,24.1
504,33.71,25.03
505,32.2,23.88
506,24.47,20.54
507,26.45,20.61
508,28.49,23.98
509,30.23,25.16
510,34.22,25.42
511,30.59,20.19
512,28.37,24.48
513,30.41,22.24
514,28.06,24.25
515,32.03,22.46
516,28.49,22.52
517,29.44,24.42
518,30.45,24.19
519,32.53,21.6
520,32.84,25.36
521,31.9,24.22
522,30.64,23.86
523,35.51,26.49
524,33.13,24.63
525,33.64,26.65
526,32.15,22.28
527,31.33,24.79
528,25.59,20.02
529,27.87,22.23
530,26.03,22.41
531,31.94,25.63
532,30.28,21.36
533,30.09,23.44
534,29.6,22.02
535,28.16,23.2
536,33.41,23.28
537,33.99,25.25
538,27.92,20.39
539,33.03,25.33
540,25.63,20.7
541,29.29,19.52
542,30.76,22.34
543,30.9,21.13
544,30.69,22.03
545,32.52,23.91
546,30.29,22.99
547,31.33,20.81
548,27.19,17.34
549,34.01,24.4
550,31.21,23.5
551,30.89,24.12
552,28.6,22.43
553,31.22,23.55
554,33.46,23.91
555,30.67,22.25
556,35.9,26.9
557,27.83,22.06
558,32.87,25.13
559,27.83,23.08
560,29.41,23.54
561,23.85,17.78
562,28.61,21.8
563,32.57,22.13
564,33.02,26.05
565,31.98,24.12
566,29.31,21.72
567,26.9,18.04
568,28.77,21.95
569,32.28,21.7
570,29.58,20.59
571,31.5,23.14
572,28.81,20.68
573,29.79,23.04
574,34.8,25.15
575,34.03,25.71
576,35.12,25.34
577,30.51,23.89
578,29.57,23.26
579,29.38,23.58
580,27.4,21.13
581,32.02,19.99
582,30.21,20.65
583,31.71,21.73
584,33.47,25.82
585,33.79,24.6
586,31.04,22.61
587,27.44,20.77
588,29.33,19.15
589,25.08,21.24
590,33.44,25.9
591,35.4,24.13
592,31.16,24.11
593,27.88,22.6
594,29.72,21.48
595,29.71,19.15
596,31.94,23.58
597,30.63,21.36
598,31.46,22.52
599,30.89,24.36
600,27.09,23.1
601,30.6,23.69
602,29.51,23.51
603,30.41,22.86
604,29.58,21.92
605,28.73,23.15
606,29.08,21.52
607,34.61,26.98
608,34.18,24.49
609,31.57,26.9
610,24.65,17.54
611,32.21,23.13
612,27.66,20.16
613,29.93,23.78
614,31.66,25.84
615,27.89,23.41
616,25.51,21.22
617,31.51,25.17
618,33.78,26.34
619,28.63,20.42
620,32.56,23.71
621,28.64,20.96
622,31.28,24.13
623,28.68,24.31
624,33.24,20.8
625,29.14,23.83
626,27.46,19.02
627,33.41,23.79
628,22.36,16.69
629,32.6,23.93
630,26.4,19.53
631,25.24,20.43
632,32.93,24.79
633,28.83,22.5
634,31.84,22.54
635,31.18,24.31
636,28.6,22.49
637,35.79,25.66
638,34.49,24.9
639,31.97,23.41
640,30.23,21.25
641,28.53,20.7
642,27.33,17.04
643,25.75,22.09
644,28.63,23.19
645,30.98,23.17
646,32.08,22.69
647,31.82,24.72
648,23.15,19.67
649,26.7,23.62
650,32.67,27.24
651,29.33,25.26
652,28.42,23.93
653,30.67,21.69
654,32.27,24.04
655,28.72,22.71
656,32.62,22.44
657,33.18,25.56
658,29.16,24.05
659,27.11,17.92
660,31.91,22.27
661,30.9,21.98
662,25.18,21.74
663,30.67,24.6
664,32.82,25.04
665,35.36,26.99
666,32.39,24.49
667,24.38,21.72
668,32.23,23.54
669,27.79,23.84
670,28.51,23.05
671,27.48,22.97
672,25.87,21.08
673,32.41,23.8
674,32.29,22.74
675,32.26,22.8
676,26.96,19.88
677,30.49,23.02
678,30.55,22.9
679,30.24,23.01
680,30.93,23.0
681,34.14,24.4
682,29.28,19.84
683,30.78,23.59
684,34.45,26.72
685,30.85,25.92
686,32.24,21.26
687,32.54,23.21
688,31.1,22.37
689,30.88,25.12
690,30.56,24.64
691,27.89,20.02
692,33.68,24.72
693,31.31,21.3
694,30.72,24.78
695,34.03,24.75
696,29.03,24.33
697,32.84,26.19
698,24.53,19.28
699,27.12,23.83
700,31.78,23.03
701,34.8,24.72
702,36.7,27.47
703,29.78,22.11
704,30.93,24.31
705,29.39,23.76
706,31.46,22.48
707,29.8,24.66
708,27.06,21.49
709,29.49,23.98
710,28.1,23.46
711,31.74,23.23
712,24.77,20.34
713,29.42,21.57
714,31.06,22.67
715,30.39,24.49
716,30.61,22.88
717,31.63,21.64
718,32.31,27.33
719,33.47,25.45
720,30.89,21.7
721,30.48,21.47
722,27.57,18.75
723,29.93,22.48
724,31.71,23.33
725,27.95,17.36
726,33.25,27.09
727,36.04,26.91
728,26.73,23.58
729,32.23,21.79
730,32.84,22.87
731,29.41,22.66
732,33.01,25.51
733,31.47,23.34
734,25.19,19.38
735,32.63,23.42
736,25.79,21.89
737,31.32,23.94
738,35.25,24.9
739,33.66,24.38
740,30.85,26.09
741,29.57,22.19
742,28.07,22.3
743,28.04,24.0
744,27.27,21.84
745,30.75,23.71
746,31.5,21.2
747,32.2,26.04
748,29.33,21.65
749,34.31,24.77
750,28.04,24.17
751,29.3,19.44
752,30.54,20.39
753,33.8,26.61
754,33.78,24.17
755,27.25,20.83
756,26.06,21.06
757,24.26,16.75
758,29.75,25.26
759,36.73,27.06
760,32.46,26.05
761,32.04,25.61
762,27.22,23.74
763,33.4,24.28
764,34.94,26.01
765,32.8,23.83
766,29.08,20.98
767,33.39,24.82
768,34.04,26.32
769,32.35,22.81
770,30.46,22.96
771,31.73,24.1
772,33.27,26.87
773,30.68,22.76
774,35.05,25.32
775,32.56,24.18
776,30.18,20.46
777,32.98,26.47
778,30.16,21.97
779,29.96,19.45
780,28.67,21.69
781,29.93,20.59
782,26.62,21.7
783,32.36,23.38
784,28.8,19.58
785,28.67,21.43
786,26.89,18.46
787,29.76,22.09
788,35.08,26.17
789,33.1,24.57
790,28.09,23.09
791,31.15,21.17
792,28.88,23.1
793,29.05,20.98
794,24.2,17.99
795,33.65,26.47
796,32.13,24.99
797,31.24,23.13
798,30.82,22.67
799,29.86,25.74
800,32.9,26.67
801,29.24,23.53
802,27.05,19.97
803,31.59,25.83
804,27.1,24.2
805,32.83,25.76
806,26.67,20.58
807,27.33,22.82
808,28.26,18.31
809,27.7,18.08
810,31.46,24.14
811,28.39,21.22
812,30.43,23.44
813,26.43,21.46
814,32.6,26.46
815,27.32,22.94
816,34.77,25.25
817,29.4,18.37
818,25.87,19.98
819,30.84,24.66
820,28.38,19.92
821,30.61,21.89
822,29.97,20.37
823,33.98,23.51
824,32.41,23.29
825,26.89,23.74
826,33.94,26.71
827,29.77,21.99
828,33.19,24.72
829,27.51,18.94
830,28.14,21.62
831,30.92,24.89
832,30.62,20.63
833,31.46,24.32
834,29.46,22.43
835,31.53,23.8
836,30.86,23.86
837,29.99,20.47
838,32.9,25.2
839,36.34,27.41
840,27.01,22.45
841,29.01,24.68
842,33.66,23.88
843,31.0,21.5
844,21.27,17.54
845,32.9,23.65
846,21.84,14.91
847,29.68,22.72
848,29.9,22.35
849,35.66,26.15
850,30.4,22.68
851,30.85,24.94
852,30.74,21.65
853,28.62,23.21
854,33.75,24.39
855,31.95,25.74
856,29.95,19.99
857,30.74,22.25
858,32.85,25.31
859,26.87,20.48
860,31.03,25.01
861,36.35,26.96
862,33.95,26.1
863,26.32,18.97
864,31.57,23.28
865,29.78,25.06
866,28.34,18.71
867,31.58,26.39
868,31.98,21.93
869,30.0,25.39
870,24.45,18.61
871,32.3,22.87
872,30.53,22.19
873,29.69,22.63
874,31.65,23.77
875,25.77,22.92
876,24.56,20.45
877,32.66,26.4
878,30.58,24.49
879,27.85,20.76
880,29.38,22.59
881,32.79,22.64
882,26.06,22.43
883,25.03,16.99
884,28.95,21.1
885,29.35,23.39
886,33.12,24.86
887,32.21,22.42
888,26.41,17.83
889,29.96,22.41
890,29.97,20.58
891,26.83,23.75
892,34.63,24.72
893,28.67,22.91
894,35.92,27.54
895,28.47,20.36
896,32.9,24.2
897,30.53,25.04
898,29.52,22.31
899,32.88,24.48
900,31.66,21.7
901,32.39,26.28
902,32.49,19.83
903,32.23,21.89
904,30.52,22.28
905,25.15,18.86
906,28.96,23.55
907,31.6,23.28
908,33.58,26.7
909,25.31,21.03
910,33.06,26.36
911,32.08,21.64
912,29.85,19.98
913,27.76,20.38
914,31.88,23.17
915,31.19,24.63
916,29.18,22.45
917,25.32,19.96
918,30.45,23.59
919,28.34,23.11
920,30.21,24.72
921,28.85,21.87
922,25.58,20.1
923,30.72,21.72
924,29.7,21.45
925,33.87,24.61
926,28.86,20.99
927,28.78,22.96
928,26.17,20.07
929,19.9,15.71
930,28.84,23.26
931,27.15,23.59
932,31.44,21.28
933,30.07,23.14
934,34.35,25.23
935,31.31,23.73
936,29.97,20.97
937,32.0,23.78
938,31.0,22.48
939,35.87,26.45
940,31.47,23.42
941,25.5,20.06
942,32.67,24.59
943,27.03,21.55
944,26.36,22.8
945,32.64,24.24
946,27.38,20.35
947,26.7,21.43
948,29.17,18.2
949,34.0,26.32
950,33.04,24.49
951,29.7,21.28
952,28.08,23.48
953,28.02,20.32
954,30.26,18.9
955,32.93,26.52
956,30.21,21.5
957,28.94,19.59
958,26.66,21.89
959,31.07,24.01
960,28.58,21.88
961,30.83,22.26
962,32.77,25.33
963,32.0,24.05
964,26.24,15.94
965,31.33,23.17
966,30.43,24.44
967,30.79,22.56
968,32.82,22.77
969,33.71,22.73
970,31.35,23.92
971,28.74,21.56
972,29.85,22.2
973,31.71,20.6
974,32.8,23.75
975,35.39,25.92
976,33.32,25.92
977,29.65,22.79
978,30.05,21.0
979,33.6,24.85
980,25.66,21.71
981,31.39,23.33
982,34.01,23.4
983,25.78,22.81
984,30.97,24.78
985,31.88,23.46
986,26.37,22.31
987,32.11,23.48
988,29.22,19.81
989,35.5,27.65
990,32.04,22.77
991,28.24,22.25
992,35.69,26.01
993,31.99,25.94
994,28.92,21.76
995,26.98,20.73
996,24.21,20.58
997,34.85,25.59
998,33.4,25.46
999,31.89,26.54
1000,31.36,24.55
1001,29.49,19.55
1002,31.41,23.36
1003,33.74,26.35
1004,29.42,22.63
1005,30.8,22.79
1006,30.03,21.7
1007,29.78,25.22
1008,26.66,22.13
1009,30.64,23.59
1010,29.75,21.86
1011,27.93,22.01
1012,34.42,24.61
1013,31.45,23.0
1014,32.15,23.02
1015,25.71,19.55
1016,31.51,23.29
1017,27.59,23.83
1018,31.83,26.52
1019,26.6,20.28
1020,29.54,24.31
1021,25.47,20.85
1022,24.72,22.76
1023,31.58,24.75
1024,32.37,27.17
1025,27.43,23.95
1026,33.55,22.97
1027,27.33,21.43
1028,32.1,20.47
1029,27.0,19.17
1030,28.6,21.17
1031,29.85,24.95
1032,33.42,24.14
1033,29.77,21.2
1034,28.86,23.35
1035,28.41,21.66
1036,30.49,25.0
1037,33.59,25.87
1038,29.53,23.03
1039,30.64,22.59
1040,28.99,23.28
1041,31.59,23.16
1042,27.56,22.03
1043,31.27,24.34
1044,27.7,23.34
1045,26.69,16.28
1046,31.55,21.58
1047,34.39,25.68
1048,32.01,24.98
1049,30.25,20.32
1050,27.04,20.04
1051,32.65,24.56
1052,31.53,26.12
1053,31.28,20.37
1054,30.98,22.78
1055,31.6,23.71
1056,29.61,20.11
1057,32.06,26.51
1058,26.23,20.44
1059,26.63,17.84
1060,30.31,24.22
1061,32.28,25.09
1062,34.62,26.84
1063,35.22,25.28
1064,32.99,24.61
1065,33.85,25.62
1066,31.17,24.93
1067,25.63,22.36
1068,35.09,26.02
1069,27.39,21.77
1070,29.83,24.63
1071,32.74,24.46
1072,30.43,25.49
1073,33.34,24.46
1074,27.41,23.93
1075,32.91,25.55
1076,29.8,22.03
1077,27.17,22.11
1078,32.17,21.05
1079,27.37,24.15
1080,28.63,22.77
1081,20.79,16.57
1082,25.71,20.14
1083,27.46,24.12
1084,31.23,24.62
1085,29.03,23.02
1086,29.84,23.13
1087,34.85,25.82
1088,31.25,22.84
1089,30.57,23.34
1090,32.35,26.08
1091,27.47,23.6
1092,28.31,24.21
1093,28.53,23.97
1094,31.1,22.54
1095,29.48,19.4
1096,25.39,20.2
1097,31.98,26.55
1098,34.25,26.14
1099,30.68,20.27
1100,28.73,25.06
1101,24.46,22.59
1102,32.42,24.21
1103,32.32,24.11
1104,22.98,17.05
1105,28.65,23.41
1106,28.97,23.27
1107,35.63,27.66
1108,28.68,23.55
1109,36.51,27.23
1110,25.37,18.53
1111,33.07,24.89
1112,27.29,20.95
1113,31.33,20.89
1114,29.8,19.79
1115,29.95,23.8
1116,30.96,24.87
1117,30.53,21.0
1118,30.29,24.11
1119,28.78,22.91
1120,36.08,26.77
1121,33.41,20.98
1122,32.53,26.36
1123,36.05,27.74
1124,36.46,26.49
1125,32.5,26.34
1126,32.42,24.3
1127,25.45,20.82
1128,33.7,24.57
1129,31.51,24.17
1130,32.19,22.47
1131,31.53,23.44
1132,20.8,12.41
1133,29.49,22.9
1134,30.38,25.54
1135,31.7,26.95
1136,27.12,21.57
1137,26.29,22.57
1138,34.0,26.2
1139,29.51,23.09
1140,30.84,20.54
1141,24.9,18.33
1142,32.29,23.49
1143,34.9,25.65
1144,31.36,25.93
1145,30.22,22.48
1146,27.72,19.64
1147,29.97,25.22
1148,31.72,23.35
1149,25.63,16.01
1150,26.56,23.68
1151,33.32,25.13
1152,26.31,20.26
1153,34.49,24.21
1154,31.42,23.66
1155,33.57,23.44
1156,27.9,23.07
1157,28.3,23.05
1158,33.66,23.53
1159,33.04,25.49
1160,30.58,22.86
1161,31.42,23.76
1162,30.55,20.73
1163,34.31,24.89
1164,28.6,22.25
1165,28.27,17.33
1166,28.71,21.62
1167,26.76,23.74
1168,35.28,26.09
1169,34.11,25.59
1170,25.77,17.21
1171,27.1,17.84
1172,27.48,19.79
1173,25.8,20.59
1174,27.86,19.85
1175,27.41,20.65
1176,32.32,22.13
1177,30.84,23.86
1178,30.76,21.1
1179,26.42,23.31
1180,28.93,25.11
1181,30.83,25.46
1182,30.7,19.82
1183,29.44,23.27
1184,27.61,20.68
1185,26.21,23.85
1186,29.68,21.34
1187,31.25,25.09
1188,31.06,24.52
1189,29.91,22.17
1190,28.87,22.87
1191,30.42,23.73
1192,35.61,26.34
1193,33.7,23.23
1194,30.26,24.65
1195,28.54,21.98
1196,26.11,19.83
1197,28.21,21.32
1198,35.24,25.78
1199,31.8,22.33
1200,32.81,25.0
1201,31.4,21.97
1202,28.17,22.87
1203,29.87,20.86
1204,32.89,25.32
1205,32.82,25.36
1206,30.62,24.02
1207,27.01,21.85
1208,23.57,14.94
1209,29.67,19.65
1210,32.19,25.68
1211,27.48,24.09
1212,28.84,23.33
1213,30.21,21.61
1214,29.74,22.76
1215,32.03,24.51
1216,31.95,23.63
1217,28.54,21.97
1218,31.99,25.97
1219,27.23,22.55
1220,29.52,23.54
1221,34.6,26.95
1222,34.05,26.41
1223,32.26,21.75
1224,30.41,22.8
1225,26.34,22.8
1226,23.76,16.33
1227,31.37,22.81
1228,32.68,22.72
1229,31.63,25.23
1230,32.22,22.38
1231,35.72,26.85
1232,33.92,26.58
1233,29.53,22.86
1234,33.39,25.05
1235,30.52,22.9
1236,34.3,25.14
1237,29.33,19.1
1238,30.88,23.21
1239,28.89,24.22
1240,28.3,24.3
1241,29.05,21.3
1242,33.08,25.22
1243,34.31,26.7
1244,29.09,23.19
1245,33.05,23.27
1246,31.4,22.46
1247,26.87,21.49
1248,33.25,24.55
1249,32.12,26.64
1250,28.35,24.37
1251,31.44,25.11
1252,28.82,22.1
1253,29.68,23.77
1254,25.48,19.24
1255,30.57,25.62
1256,26.61,21.38
1257,29.61,24.18
1258,33.96,25.46
1259,33.76,25.93
1260,33.97,23.88
1261,33.31,24.31
1262,31.57,23.52
1263,29.2,23.66
1264,31.91,23.7
1265,33.64,25.72
1266,33.38,23.68
1267,30.2,24.54
1268,29.49,22.28
1269,24.72,20.73
1270,29.54,24.44
1271,30.2,25.19
1272,25.11,20.84
1273,34.35,25.88
1274,26.89,22.36
1275,27.14,22.67
1276,24.97,20.74
1277,32.58,23.99
1278,28.05,23.19
1279,35.65,27.27
1280,29.18,23.51
1281,29.54,23.32
1282,24.82,18.57
1283,27.3,22.53
1284,30.84,24.91
1285,30.52,20.18
1286,32.6,24.35
1287,35.1,25.63
1288,27.62,19.07
1289,33.92,26.02
1290,26.19,20.26
1291,31.28,22.89
1292,33.53,26.84
1293,30.76,26.03
1294,30.83,24.89
1295,30.08,23.88
1296,28.64,20.07
1297,33.33,26.73
1298,31.93,25.88
1299,32.8,25.47
1300,26.91,21.99
1301,31.02,24.09
1302,32.74,24.64
1303,30.51,22.75
1304,30.12,22.38
1305,30.23,21.45
1306,30.34,23.01
1307,31.61,24.03
1308,31.48,23.87
1309,35.3,27.19
1310,28.49,22.17
1311,30.9,22.2
1312,29.71,22.36
1313,29.73,23.63
1314,32.74,26.32
1315,25.19,21.94
1316,28.31,21.24
1317,30.0,20.65
1318,30.42,23.31
1319,24.62,20.61
1320,29.0,21.65
1321,28.51,23.73
1322,31.67,24.03
1323,30.88,25.5
1324,32.36,24.08
1325,32.11,23.65
1326,25.55,19.14
1327,33.13,24.0
1328,31.38,21.35
1329,30.15,21.92
1330,30.72,21.6
1331,33.87,24.17
1332,30.68,24.65
1333,30.51,24.11
1334,29.87,21.14
1335,31.7,22.52
1336,29.74,19.54
1337,31.26,21.37
1338,25.39,22.67
1339,29.95,25.48
1340,33.15,25.69
1341,30.33,23.57
1342,32.15,23.95
1343,33.01,24.27
1344,30.21,22.08
1345,29.11,22.2
1346,25.15,19.99
1347,29.74,21.89
1348,32.65,21.88
1349,29.08,20.71
1350,28.43,19.73
1351,29.61,24.0
1352,31.34,24.11
1353,26.26,20.53
1354,27.82,24.34
1355,31.13,22.3
1356,27.96,24.53
1357,36.55,26.53
1358,31.63,25.48
1359,32.37,25.87
1360,32.9,25.41
1361,28.8,20.41
